"code","country","siteid","site_name","compiler","species","common_name","years_monitored","latitude","longitude","nesting_status"
"AL","Albania","AL01","Divjaka",NA,"Caretta caretta","Loggerhead Sea Turtle",2016,40.980858,19.4718253,"QUANTIFIED"
"AL","Albania","AL02","Kepi I Rodonit",NA,"Caretta caretta","Loggerhead Sea Turtle",2016,41.546676,19.4801933,"QUANTIFIED"
"AS","American Samoa","AS02","Swains Atoll",NA,"Chelonia mydas","Green Sea Turtle",2009,-11.05413,-171.0784,"QUANTIFIED"
"AS","American Samoa","AS03","Tutuila",NA,"Chelonia mydas","Green Sea Turtle",2008,-14.30594,-170.70845,"QUANTIFIED"
"AO","Angola","AO01","Beaches along the coast of the Cabinda Province in the North to Baia Farta, Benguela Province in the South",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2002,-8.8383,13.19,"UNQUANTIFIED"
"AO","Angola","AO04","Benguela Province",NA,"Lepidochelys olivacea","Olive Ridley",2006,-12.6692958863,13.1087228929,"UNQUANTIFIED"
"AO","Angola","AO05","Cabinda Province",NA,"Lepidochelys olivacea","Olive Ridley",1983,-5.16843077106,12.0962375474,"QUANTIFIED"
"AO","Angola","AO02","Luanda north to Rio Longa south",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2004,-9.68540962084,13.1994953078,"QUANTIFIED"
"AO","Angola","AO02","Luanda north to Rio Longa south",NA,"Lepidochelys olivacea","Olive Ridley",1985,-9.68540962084,13.1994953078,"QUANTIFIED"
"AO","Angola","AO06","Namibe Province",NA,"Chelonia mydas","Green Sea Turtle",2003,-15.20608905,12.14476436,"UNQUANTIFIED"
"AO","Angola","AO07","Sereia Peninsula, from Ponta do Padrão to Sereia Beach",NA,"Lepidochelys olivacea","Olive Ridley",2008,-6.113906,12.274346,"QUANTIFIED"
"AI","Anguilla","AI05","Crocus Bay","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",2005,18.2196,-63.0674,"UNQUANTIFIED"
"AI","Anguilla","AI17","Great Bay , Dog Island","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",2014,18.273319,-63.252822,"QUANTIFIED"
"AI","Anguilla","WCAI6","Junk's Hole","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",2003,18.255,-62.9816,"QUANTIFIED"
"AI","Anguilla","WCAI16","Katouche Bay","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",2003,18.2122,-63.0762,"QUANTIFIED"
"AI","Anguilla","AI16","Lockrum","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",2008,18.17,-63.05,"QUANTIFIED"
"AI","Anguilla","AI08","Maunday's Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",2013,18.164761,-63.146375,"QUANTIFIED"
"AI","Anguilla","AI10","Mimi Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",2013,18.2286,-62.9901,"QUANTIFIED"
"AI","Anguilla","AI18","Prickly Pear East","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",2009,18.2648,-63.172,"QUANTIFIED"
"AI","Anguilla","WCAI15","Road Bay","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",2003,18.1996,-63.0908,"QUANTIFIED"
"AI","Anguilla","AI19","Scrub Bay, Scrub Island","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",2009,18.28275,-63.9562,"QUANTIFIED"
"AI","Anguilla","AI14","Shoal Bay East","WIDECAST","Chelonia mydas","Green Sea Turtle",2013,18.2574,-63.028,"QUANTIFIED"
"AI","Anguilla","AI20","Shoal Bay West","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",2003,18.1643,-63.15625,"QUANTIFIED"
"AI","Anguilla","AI22","Spring Bay, Dog Island","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",2013,18.2745888888889,-63.2588972222222,"QUANTIFIED"
"AI","Anguilla","AI23","Stoney Bay, Dog Island","WIDECAST","Chelonia mydas","Green Sea Turtle",2014,18.2734888888889,-63.2504805555556,"QUANTIFIED"
"AI","Anguilla","AI21","Westend Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",2009,18.17125,-63.15617,"QUANTIFIED"
"AG","Antigua and Barbuda","WCAG15","Big Rendezvous Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.0143,-61.808,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG15","Big Rendezvous Bay","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.0143,-61.808,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG15","Big Rendezvous Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.0143,-61.808,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG46","Bleaky Bay beaches","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.5504,-61.7363,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG46","Bleaky Bay beaches","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.5504,-61.7363,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG17","Carlisle Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.015473,-61.832584,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG17","Carlisle Bay","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.015473,-61.832584,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG17","Carlisle Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.015473,-61.832584,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG49","Coco Point","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.5473,-61.7664,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG49","Coco Point","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.5473,-61.7664,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG49","Coco Point","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.5473,-61.7664,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG48","Coco Point East","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.5451,-61.7657,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG51","Continuous Beach from River to Billy Point","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.6498,-61.8539,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG51","Continuous Beach from River to Billy Point","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.6498,-61.8539,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG51","Continuous Beach from River to Billy Point","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.6498,-61.8539,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG50","Coral Group beaches","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.5832,-61.8078,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG18","Curtain Bluff","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.0134,-61.8423,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG18","Curtain Bluff","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.0134,-61.8423,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG18","Curtain Bluff","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.0134,-61.8423,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG21","Darkwood","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.030968,-61.89041,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG21","Darkwood","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.030968,-61.89041,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG29","Deep Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.126653,-61.885458,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG5","Devil's Bridge","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.1017,-61.6782,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG34","Dickenson Bay","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.161316,-61.846481,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG34","Dickenson Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.161316,-61.846481,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG12","Dieppe Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.0127,-61.7868,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG12","Dieppe Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.0127,-61.7868,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG38","Dutchman Bay","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.1536,-61.7898,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG38","Dutchman Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.1536,-61.7898,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG41","Fishing Creek","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.699163,-61.805428,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG41","Fishing Creek","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.699163,-61.805428,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG26","Five Islands Estate beaches","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.099337,-61.903828,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG26","Five Islands Estate beaches","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.099337,-61.903828,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG26","Five Islands Estate beaches","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.099337,-61.903828,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG22","Fryes Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.038795,-61.894084,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG22","Fryes Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.038795,-61.894084,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG32","Ft. James","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.1351,-61.8608,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG28","Galley Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.1218,-61.8924,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG28","Galley Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.1218,-61.8924,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG44","Ghaut to Pigeon Cliff","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.64139,-61.74375,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG44","Ghaut to Pigeon Cliff","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.64139,-61.74375,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG2","Great Bird Island","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.147,-61.7233,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG6","Green Island","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.0717,-61.6696,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG6","Green Island","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.0717,-61.6696,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG3","Guiana Island","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.1308,-61.7229,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG8","Half Moon Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.0392,-61.6889,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG8","Half Moon Bay","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.0392,-61.6889,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG8","Half Moon Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.0392,-61.6889,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG27","Hawksbill Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.116269,-61.897439,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG25","Hermitage Bay/TwoFoot Bay/Royal Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.0855,-61.8934,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG30","Hog John Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.13,-61.8837,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG30","Hog John Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.13,-61.8837,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG42","Hog Point to Sea View","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.699642,-61.795045,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG9","Indian Creek","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.002,-61.7426,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG9","Indian Creek","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.002,-61.7426,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG37","Jabberwock","WIDECAST","Dermochelys coriacea","Leatherback Sea Turtle",1992,17.1685,-61.8004,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG37","Jabberwock","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.1685,-61.8004,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG20","Johnson's Point","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.026,-61.8881,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG23","Jolly Beach/Lignumvitae Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.070424,-61.89009,"UNQUANTIFIED"
"AG","Antigua and Barbuda","AG01","Jumby Bay - Pasture Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",2006,17.1589,-61.7563,"QUANTIFIED"
"AG","Antigua and Barbuda","WCAG40","Kid Island","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.702997,-61.821402,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG40","Kid Island","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.702997,-61.821402,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG14","Little Rendezvous Bay","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.014515,-61.800795,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG14","Little Rendezvous Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.014515,-61.800795,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG4","Long Bay","WIDECAST","Eretmochelys imbricata","Hawksbill Sea Turtle",1992,17.0988,-61.6906,"UNQUANTIFIED"
"AG","Antigua and Barbuda","WCAG7","Mill Reef beaches","WIDECAST","Chelonia mydas","Green Sea Turtle",1992,17.0572,-61.6773,"UNQUANTIFIED"
