"years_monitored","species","n"
1930,"Chelonia mydas",1
1938,"Chelonia mydas",1
1969,"Lepidochelys olivacea",1
1970,"Chelonia mydas",13
1970,"Lepidochelys olivacea",1
1971,"Chelonia mydas",1
1973,"Chelonia mydas",1
1976,"Lepidochelys olivacea",1
1977,"Chelonia mydas",1
1978,"Chelonia mydas",2
1978,"Lepidochelys kempii",1
1979,"Caretta caretta",2
1979,"Chelonia mydas",1
1979,"Dermochelys coriacea",5
1979,"Lepidochelys olivacea",1
1979,"Eretmochelys imbricata",4
1979,"Lepidochelys kempii",1
1980,"Eretmochelys imbricata",1
1980,"Lepidochelys kempii",1
1981,"Caretta caretta",4
1981,"Chelonia mydas",11
1981,"Dermochelys coriacea",3
1981,"Lepidochelys olivacea",1
1981,"Eretmochelys imbricata",8
1981,"Lepidochelys kempii",1
1982,"Caretta caretta",6
1982,"Chelonia mydas",15
1982,"Lepidochelys olivacea",3
1982,"Eretmochelys imbricata",10
1982,"Lepidochelys kempii",1
1983,"Chelonia mydas",7
1983,"Dermochelys coriacea",7
1983,"Lepidochelys olivacea",2
1983,"Eretmochelys imbricata",3
1983,"Lepidochelys kempii",1
1984,"Chelonia mydas",5
1984,"Lepidochelys olivacea",2
1984,"Eretmochelys imbricata",1
1984,"Lepidochelys kempii",1
1985,"Chelonia mydas",5
1985,"Lepidochelys olivacea",2
1985,"Lepidochelys kempii",1
1986,"Eretmochelys imbricata",2
1986,"Natator depressus",1
1986,"Lepidochelys kempii",1
1987,"Chelonia mydas",8
1987,"Dermochelys coriacea",7
1987,"Lepidochelys olivacea",2
1987,"Eretmochelys imbricata",31
1987,"Natator depressus",1
1987,"Lepidochelys kempii",1
1988,"Chelonia mydas",2
1988,"Dermochelys coriacea",1
1988,"Eretmochelys imbricata",1
1988,"Lepidochelys kempii",2
1989,"Chelonia mydas",6
1989,"Lepidochelys olivacea",2
1989,"Eretmochelys imbricata",1
1989,"Lepidochelys kempii",3
1990,"Caretta caretta",6
1990,"Chelonia mydas",10
1990,"Dermochelys coriacea",2
1990,"Lepidochelys olivacea",1
1990,"Eretmochelys imbricata",4
1990,"Lepidochelys kempii",3
1991,"Chelonia mydas",19
1991,"Dermochelys coriacea",4
1991,"Eretmochelys imbricata",28
1991,"Lepidochelys kempii",3
1992,"Chelonia mydas",44
1992,"Dermochelys coriacea",19
1992,"Lepidochelys olivacea",4
1992,"Eretmochelys imbricata",69
1992,"Natator depressus",1
1992,"Lepidochelys kempii",3
1993,"Caretta caretta",6
1993,"Chelonia mydas",20
1993,"Dermochelys coriacea",12
1993,"Lepidochelys olivacea",6
1993,"Eretmochelys imbricata",27
1993,"Lepidochelys kempii",3
1994,"Caretta caretta",1
1994,"Chelonia mydas",4
1994,"Dermochelys coriacea",3
1994,"Lepidochelys olivacea",5
1994,"Eretmochelys imbricata",4
1994,"Lepidochelys kempii",3
1995,"Caretta caretta",2
1995,"Chelonia mydas",12
1995,"Dermochelys coriacea",6
1995,"Lepidochelys olivacea",4
1995,"Eretmochelys imbricata",65
1995,"Lepidochelys kempii",3
1996,"Caretta caretta",1
1996,"Chelonia mydas",12
1996,"Dermochelys coriacea",9
1996,"Lepidochelys olivacea",7
1996,"Eretmochelys imbricata",13
1996,"Lepidochelys kempii",5
1997,"Caretta caretta",25
1997,"Chelonia mydas",18
1997,"Dermochelys coriacea",11
1997,"Lepidochelys olivacea",20
1997,"Eretmochelys imbricata",27
1997,"Natator depressus",1
1997,"Lepidochelys kempii",6
1998,"Caretta caretta",6
1998,"Chelonia mydas",16
1998,"Dermochelys coriacea",7
1998,"Lepidochelys olivacea",1
1998,"Eretmochelys imbricata",14
1998,"Lepidochelys kempii",6
1999,"Caretta caretta",12
1999,"Chelonia mydas",60
1999,"Dermochelys coriacea",15
1999,"Lepidochelys olivacea",32
1999,"Eretmochelys imbricata",20
1999,"Natator depressus",32
1999,"Lepidochelys kempii",6
2000,"Caretta caretta",3
2000,"Chelonia mydas",96
2000,"Dermochelys coriacea",110
2000,"Lepidochelys olivacea",75
2000,"Eretmochelys imbricata",159
2000,"Lepidochelys kempii",6
